Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
21:44:23,437,518,0,0
21:44:25,429,572,467.0,0
21:44:28,480,514,467.0,520.0
21:44:30,481,528,467.0,520.0
21:44:33,476,519,471.0,516.5
21:44:35,477,519,471.0,516.5
21:44:37,477,523,467.0,517.0
21:44:40,478,521,467.0,517.0
21:44:42,474,522,471.0,517.0
21:44:45,476,521,471.0,518.5
21:44:47,472,488,471.0,518.5
21:44:50,506,517,474.0,517.0
21:44:52,487,519,474.0,517.0
21:44:54,470,485,474.0,517.0
21:44:57,476,518,474.0,517.0
21:44:59,441,518,474.0,517.0
21:45:02,481,519,474.0,517.0
21:45:04,496,518,474.0,517.0
21:45:07,487,536,474.5,518.0
21:45:09,479,520,474.5,518.0
21:45:11,478,518,475.0,518.0
21:45:14,473,517,475.0,517.0
21:45:16,480,514,475.0,517.0
21:45:19,484,554,476.5,518.0
21:45:21,461,534,476.5,518.0
21:45:23,480,548,478.0,517.0
21:45:26,479,524,478.0,517.0
21:45:28,495,511,479.0,517.0
21:45:31,478,518,479.0,517.0
21:45:33,481,518,479.0,517.0
21:45:36,479,521,478.0,517.0
21:45:38,477,523,478.0,517.0
21:45:40,523,516,477.0,516.0
21:45:43,523,516,477.0,516.0
21:45:45,470,522,478.0,516.0
21:45:48,473,523,478.0,515.0
21:45:50,495,515,478.0,515.0
21:45:53,486,518,477.0,516.0
21:45:55,479,516,477.0,516.0
21:45:57,468,527,478.0,517.0
21:46:00,481,516,478.0,517.0
21:46:02,474,526,478.0,517.0
21:46:05,479,519,478.0,517.0
21:46:07,482,525,478.0,517.0
21:46:10,477,512,478.0,517.0
21:46:12,476,516,478.0,517.0
21:46:14,481,510,478.5,517.0
21:46:17,500,513,478.5,517.0
21:46:19,474,516,478.5,517.0
21:46:22,479,500,478.5,517.0
21:46:24,524,509,478.5,517.0
21:46:27,479,524,478.5,517.0
21:46:29,480,517,478.5,517.0
21:46:31,478,489,479.0,516.0
21:46:34,474,518,479.0,516.0
21:46:36,471,513,479.0,516.0
21:46:39,477,508,478.5,516.0
21:46:41,442,540,478.5,516.0
21:46:43,463,519,479.0,516.0
21:46:46,480,516,479.0,516.0
21:46:48,476,514,479.0,516.0
21:46:51,474,519,479.0,516.0
21:46:53,514,515,479.0,516.0
21:46:56,476,519,479.5,516.0
21:46:58,480,509,479.5,516.0
21:47:00,472,496,479.0,515.5
21:47:03,479,528,479.0,515.5
21:47:05,513,480,479.0,515.5
21:47:08,524,531,479.0,516.5
21:47:10,487,507,479.0,516.5
21:47:13,478,513,478.5,516.5
21:47:15,478,518,478.5,516.5
21:47:17,474,518,478.5,516.5
21:47:19,521,517,478.5,517.0
21:47:22,468,512,478.5,517.0
21:47:24,481,519,478.5,517.0
21:47:26,482,528,478.5,517.0
21:47:29,476,522,479.0,517.5
21:47:31,468,509,479.0,517.5
21:47:34,472,517,479.0,517.5
21:47:36,449,516,479.0,519.0
21:47:39,485,504,479.0,519.0
21:47:41,480,512,479.0,519.0
21:47:43,479,524,479.0,519.0
21:47:46,499,516,479.0,517.5
21:47:48,477,514,479.0,517.5
21:47:51,475,529,479.0,517.5
21:47:53,482,520,479.0,517.5
21:47:55,501,554,479.0,517.5
21:47:58,480,521,479.0,517.5
21:48:00,481,516,479.0,517.5
21:48:03,478,524,478.5,518.0
21:48:05,479,517,478.5,518.0
21:48:08,477,514,478.5,518.0
21:48:10,506,514,478.0,518.0
21:48:12,496,560,478.0,518.0
21:48:15,457,523,478.0,518.0
21:48:17,476,524,478.0,518.0
21:48:20,480,517,478.0,518.0
21:48:22,440,511,478.0,518.0
21:48:25,442,542,478.0,518.0
21:48:27,442,509,478.0,518.0
21:48:29,481,516,478.0,518.0
21:48:32,479,516,478.0,518.0
21:48:34,484,556,478.0,518.0
21:48:37,491,515,478.0,518.0
21:48:39,507,502,478.0,518.0
21:48:42,480,516,478.0,518.0
21:48:44,474,565,478.5,518.0
21:48:46,461,515,478.5,518.0
21:48:49,491,513,478.0,518.0
21:48:51,479,516,478.0,518.0
21:48:54,480,507,478.5,518.0
